name,url,keywords
Technology Roadmaps,https://roadmaps.mit.edu/index.php/Technology_Roadmaps,"['Technology', 'Roadmaps', '-', 'MIT', 'Technology']"
Mining the Martian Surface for in Situ Resources,https://roadmaps.mit.edu/index.php/Mining_the_Martian_Surface_for_in_Situ_Resources,"['Mining', 'the', 'Martian', 'Surface', 'for']"
PHA (polyhydroxyalkanoate) bioplastics manufacturing,https://roadmaps.mit.edu/index.php/PHA_(polyhydroxyalkanoate)_bioplastics_manufacturing,"['PHA', '(polyhydroxyalkanoate)', 'bioplastics', 'manufacturing', '-']"
Mining Critical Materials from Seawater and Brine,https://roadmaps.mit.edu/index.php/Mining_Critical_Materials_from_Seawater_and_Brine,"['Mining', 'Critical', 'Materials', 'from', 'Seawater']"
In-Space Additive Manufacturing,https://roadmaps.mit.edu/index.php/In-Space_Additive_Manufacturing,"['In-Space', 'Additive', 'Manufacturing', '-', 'MIT']"
Direct Air Capture,https://roadmaps.mit.edu/index.php/Direct_Air_Capture,"['Direct', 'Air', 'Capture', '-', 'MIT']"
Large Ultra Lightweight Monolithic Mirros for Space Missions,https://roadmaps.mit.edu/index.php/Large_Ultra_Lightweight_Monolithic_Mirros_for_Space_Missions,"['Large', 'Ultra', 'Lightweight', 'Monolithic', 'Mirros']"
Sustainable Aviation Fuel,https://roadmaps.mit.edu/index.php/Sustainable_Aviation_Fuel,"['Sustainable', 'Aviation', 'Fuel', '-', 'MIT']"
Nuclear Fusion,https://roadmaps.mit.edu/index.php/Nuclear_Fusion,"['Nuclear', 'Fusion', '-', 'MIT', 'Technology']"
Carbon Dioxide Removal,https://roadmaps.mit.edu/index.php/Carbon_Dioxide_Removal,"['Carbon', 'Dioxide', 'Removal', '-', 'MIT']"
Laser Confined Nuclear Fusion,https://roadmaps.mit.edu/index.php/Laser_Confined_Nuclear_Fusion,"['Laser', 'Confined', 'Nuclear', 'Fusion', '-']"
Wave Energy Conversion for Offshore AUV Docking Stations,https://roadmaps.mit.edu/index.php/Wave_Energy_Conversion_for_Offshore_AUV_Docking_Stations,"['Wave', 'Energy', 'Conversion', 'for', 'Offshore']"
Wind Turbine - Energy Harvesting,https://roadmaps.mit.edu/index.php/Wind_Turbine_-_Energy_Harvesting,"['Wind', 'Turbine', '-', 'Energy', 'Harvesting']"
Rocket Engines,https://roadmaps.mit.edu/index.php/Rocket_Engines,"['Rocket', 'Engines', '-', 'MIT', 'Technology']"
Electric Aircraft Propulsion Architectures,https://roadmaps.mit.edu/index.php/Electric_Aircraft_Propulsion_Architectures,"['Electric', 'Aircraft', 'Propulsion', 'Architectures', '-']"
Electric Heat Pumps,https://roadmaps.mit.edu/index.php/Electric_Heat_Pumps,"['Electric', 'Heat', 'Pumps', '-', 'MIT']"
Earth Remote Sensing,https://roadmaps.mit.edu/index.php/Earth_Remote_Sensing,"['Earth', 'Remote', 'Sensing', '-', 'MIT']"
Optical Payload for Space Situational Awareness in Geosynchronous Orbit,https://roadmaps.mit.edu/index.php/Optical_Payload_for_Space_Situational_Awareness_in_Geosynchronous_Orbit,"['Optical', 'Payload', 'for', 'Space', 'Situational']"
Sparse Apertures for Next Generation Optical Space Telescopes,https://roadmaps.mit.edu/index.php/Sparse_Apertures_for_Next_Generation_Optical_Space_Telescopes,"['Sparse', 'Apertures', 'for', 'Next', 'Generation']"
Smart 3D Cameras,https://roadmaps.mit.edu/index.php/Smart_3D_Cameras,"['Smart', '3D', 'Cameras', '-', 'MIT']"
Soil Health Sensing System,https://roadmaps.mit.edu/index.php/Soil_Health_Sensing_System,"['Soil', 'Health', 'Sensing', 'System', '-']"
Radar For Autonomous Vehicles Mobile Robots,https://roadmaps.mit.edu/index.php/Radar_For_Autonomous_Vehicles_Mobile_Robots,"['Radar', 'For', 'Autonomous', 'Vehicles', 'Mobile']"
Wearable Health Monitoring Devices,https://roadmaps.mit.edu/index.php/Wearable_Health_Monitoring_Devices,"['Wearable', 'Health', 'Monitoring', 'Devices', '-']"
Ground Based Radar For Space Situational Awareness,https://roadmaps.mit.edu/index.php/Ground_Based_Radar_For_Space_Situational_Awareness,"['Ground', 'Based', 'Radar', 'For', 'Space']"
Inventory Management System,https://roadmaps.mit.edu/index.php/Inventory_Management_System,"['Inventory', 'Management', 'System', '-', 'MIT']"
Plant Genetic Improvement,https://roadmaps.mit.edu/index.php/Plant_Genetic_Improvement,"['Plant', 'Genetic', 'Improvement', '-', 'MIT']"
Wearable Health Fitness Watches,https://roadmaps.mit.edu/index.php/Wearable_Health_Fitness_Watches,"['Wearable', 'Health', 'Fitness', 'Watches', '-']"
Messenger RNA Vaccine,https://roadmaps.mit.edu/index.php/Messenger_RNA_Vaccine,"['Messenger', 'RNA', 'Vaccine', '-', 'MIT']"
Lab Grown Meat,https://roadmaps.mit.edu/index.php/Lab_Grown_Meat,"['Lab', 'Grown', 'Meat', '-', 'MIT']"
Small Launch Vehicles,https://roadmaps.mit.edu/index.php/Small_Launch_Vehicles,"['Small', 'Launch', 'Vehicles', '-', 'MIT']"
Orbital Launch Vehicles Roadmap,https://roadmaps.mit.edu/index.php/Orbital_Launch_Vehicles_Roadmap,"['Orbital', 'Launch', 'Vehicles', 'Roadmap', '-']"
On Orbit Refueling Repositioning,https://roadmaps.mit.edu/index.php/On_Orbit_Refueling_Repositioning,"['On', 'Orbit', 'Refueling', 'Repositioning', '-']"
Hypersonic Transport Vehicles,https://roadmaps.mit.edu/index.php/Hypersonic_Transport_Vehicles,"['Hypersonic', 'Transport', 'Vehicles', '-', 'MIT']"
Satellite Autonomous Systems,https://roadmaps.mit.edu/index.php/Satellite_Autonomous_Systems,"['Satellite', 'Autonomous', 'Systems', '-', 'MIT']"
Battery Electric Vehicle Platforms,https://roadmaps.mit.edu/index.php/Battery_Electric_Vehicle_Platforms,"['Battery', 'Electric', 'Vehicle', 'Platforms', '-']"
Space electric propulsion,https://roadmaps.mit.edu/index.php/Space_electric_propulsion,"['Space', 'electric', 'propulsion', '-', 'MIT']"
Electric Vehicle Charging Technologies,https://roadmaps.mit.edu/index.php/Electric_Vehicle_Charging_Technologies,"['Electric', 'Vehicle', 'Charging', 'Technologies', '-']"
Sample Technology Roadmap - Solar Electric Aircraft,https://roadmaps.mit.edu/index.php/Sample_Technology_Roadmap_-_Solar_Electric_Aircraft,"['Sample', 'Technology', 'Roadmap', '-', 'Solar']"
"Solar-Powered HALE Aircraft, by Naoki Kobayashi, Alex Kunycky, Yuya Makino","https://roadmaps.mit.edu/index.php/Solar-Powered_HALE_Aircraft,_by_Naoki_Kobayashi,_Alex_Kunycky,_Yuya_Makino","['Solar-Powered', 'HALE', 'Aircraft,', 'by', 'Naoki']"
Autonomous Underwater Vehicle for Offshore Oil and Gas Platform Inspection,https://roadmaps.mit.edu/index.php/Autonomous_Underwater_Vehicle_for_Offshore_Oil_and_Gas_Platform_Inspection,"['Autonomous', 'Underwater', 'Vehicle', 'for', 'Offshore']"
Satellite Data Communication,https://roadmaps.mit.edu/index.php/Satellite_Data_Communication,"['Satellite', 'Data', 'Communication', '-', 'MIT']"
Satellite Lasercom,https://roadmaps.mit.edu/index.php/Satellite_Lasercom,"['Satellite', 'Lasercom', '-', 'MIT', 'Technology']"
WorldWide eVTOL,https://roadmaps.mit.edu/index.php/WorldWide_eVTOL,"['WorldWide', 'eVTOL', '-', 'MIT', 'Technology']"
In Space Propellant Depot,https://roadmaps.mit.edu/index.php/In_Space_Propellant_Depot,"['In', 'Space', 'Propellant', 'Depot', '-']"
Integrated and Co-located Pumped Hydro Reverse Osmosis Systems,https://roadmaps.mit.edu/index.php/Integrated_and_Co-located_Pumped_Hydro_Reverse_Osmosis_Systems,"['Integrated', 'and', 'Co-located', 'Pumped', 'Hydro']"
Energy Storage via Battery,https://roadmaps.mit.edu/index.php/Energy_Storage_via_Battery,"['Energy', 'Storage', 'via', 'Battery', '-']"
Random Forest in Data Analytics,https://roadmaps.mit.edu/index.php/Random_Forest_in_Data_Analytics,"['Random', 'Forest', 'in', 'Data', 'Analytics']"
Net Zero Energy Building,https://roadmaps.mit.edu/index.php/Net_Zero_Energy_Building,"['Net', 'Zero', 'Energy', 'Building', '-']"
Healthcare Data Security,https://roadmaps.mit.edu/index.php/Healthcare_Data_Security,"['Healthcare', 'Data', 'Security', '-', 'MIT']"
